asset_id,asset_name,asset_type,primary_business_function,supporting_business_function,business_process,asset_description,asset_owner,technical_owner,information_processed,data_classification,business_criticality,confidentiality_requirement,integrity_requirement,availability_requirement,hosting_model,supplier,location,lifecycle_status,last_review_date,next_review_date,Review Frequency
AST-001,Salesforce CRM,Saas/businessapplication,Customer Services,Data & Analytics,Customer relationship management,"Platform used to manager customer relationshipd, services  interactions and account  information",Head of Customer Services,CRM Platform Manager,"Customer PII, contact informstion, account and interaction records",Confidential,High,High,High,High,Saas,Salesforce,EU, Active,"September 1, 2026","September 1, 2027",Annual
AST-002,Microsoft Entra ID,identity platform,Technology,Enterprise-wide,Identity & access management,Cloud identity platform controlling authentication and access to enterprise services,Head of Technology,Infrastructure Manager,"User Identities , authentication records, role/group assignments and access data ",Restricted,Critical,High,High,High,Cloud/SaaS,Microsoft,EU / Global Service, Active,"September 2, 2026","February 1, 2027",Bi-Annual
AST-003,GitHub Repositories,Development platform,Technology,Informartion Security,Software development /source control,source-ode respositories supporting application development and CI/CD,Head od Engineering,Devops Platform Lead,"Source code, application configurations and CI/CD metadata",Confidential,High,High,High,Medium,Saas,Github,Global, Active,"September 3, 2026","September 3, 2027",Annual
AST-004,Rapid7,SecurityPlatform,Information Security,Technology,vulnerability management ,"Security platform used to dentofy, assess and track technology vulnerbilities",CISO,Senior Security Engineer,"Vulnerability findings, technology asset detaols and remediation status",Confidential,High,High,High,Medium,Saas,Rapid6,EU, Active,"September 4, 2026","September 4, 2027",Annual
AST-005,Microsoft Azure,Cloud platform,Technology,Enterprise-wide,Cloud infrastructure,Primary cloud environment hosting business applications and infrastructure,Head of Technology,Infrastructure Manager,"Business/application data, configurations, logs and hosted workloads",Restricted,Critical,High,High,High,IaaS/PaaS,Microsoft,EU-Ireland / West Europe, Active,"September 5, 2026","February 1, 2027",Bi-Annual
AST-006,Microsoft 365,Productivity/SaaS Platform,Technology,Enterprise-wide,Collaboration & productivity,"Enterprise productivity, email, collaboration and document-management platform",Head of Technology,M365 Service Owner,"Email, documents, Teams messages and business information",Confidential,Critical,High,High,High,Saas,Microsoft,EU, Active,"September 6, 2026","February 1, 2027",Bi-Annual
AST-007,Microsoft Defender for Endpoint,Endpoint Security Platform,Information Security,Technology,Endpoint Protection,Endpoint detection and protection platfrom for corporate devices,CISO,Senior Security Engineer,"Devices telementry, security alerts, investigation data and endpoint information",Confidential,High,High,High,High,Cloud Security Service,Microsoft,EU, Active,"September 7, 2026","September 8, 2026",Annual
AST-008,Jira,SaaS/ITSM/Workflow plaform,Technology,Enterprise-wide,Project/issue management/BAU,"Platform used to manage projects, issues, changes and technical work",Head of Technology,ITSM/Platform Manager,"Project records, technicsl issues, changes and work items ",Internal,Medium,Medium,High,Medium,Saas,Atlassian,EU, Active,"September 8, 2026","September 9, 2026",Annual
AST-009,BamBoo HR,HR Information System,Human Resources,Finance,Employee lifecycle management,HR platform supportinf employee records and lifecycle processes,HR Director,HRIS Administrator,"Employee PII, employement details, absense and HR records",Confidential,High,High,High,Medium,Saas,BamBooHR,EU/US, Active,"September 9, 2026","September 10, 2026",Annual
AST-010,Dynamics 365 Finance,Finance erp,Finance,Operations,Accounting & financial reporting,"ERP suppporting accounbtinf, financial trnsactions and reporting ",Finance Directors / CFO,Enterprise Application Manager,"General ledge, transactions supplier and financial records",Confidential,Critical,High,High,High,Saas,Microsoft,EU, Active,"September 10, 2026","September 11, 2026",Annual
AST-011,Tableau,anlytics platform,Data & Analytics,Enterprise-wide,Reporting & business intelligence,Analytics platform used for reporting and business intelligence,Head of Data & Analytics,Data Analytics Manager,"Business reports, metrics and analytical datasets",Confidential,High,High,High,Medium,Saas,Salesforce/Tableau,EU, Active,"September 11, 2026","September 12, 2026",Annual
AST-012,Customer Portal,Web Application,Customer Services,Technology,Customer self-service,Customer-facinf application prividng access to services and account functionality ,Head of Customer Services,Senior Application Engineer,"Customer identity, account and service information",Confidential,Critical,High,High,High,Azure PaaS/Custom Application,Microsoft/ InternalEngineering,EU, Active,"September 12, 2026","September 13, 2026",Annual
AST-013,DocuSign,SaaS application,Legal & Compliance,Enterprise-wide,Contract execution /e-signature,Electronic signature platfrom supporting contracts and formal agreements,Head of Legal,Enterprise Application Manager,"Contracts, signatures, agreements and personal identifiers",Confidential,High,High,High,Medium,Saas,DocuSign,EU, Active,"September 13, 2026","September 14, 2026",Annual
AST-014,Payroll Management System,business Application,Human Resources,Finance,Payroll Processing,System used to calculate and process employee salaries and deductions,HR Director,Payroll Systems Manager,"Salary, bank details, tax information and payroll records",Restricted,Critical,High,High,High,Saas,Third-Party Payrol Provider,EU, Active,"September 14, 2026","February 1, 2027",Bi-Annual
AST-015,CyberArk,Privilege dentity platform,Technology,Technology,Privilege Accounts management,Privileged-access platform used to secure and monitor elevated accounts,CISO,Infrastructure Manager,"Privileges credentials, session records and  privileged-account information",Restricted,Critical,High,High,High,SaaS/Privilege Cloud,CyberArk,EU, Active,"September 15, 2026","February 1, 2027",Bi-Annual
AST-016,Active Directory,Identity platform,Technology,Enterprise-wide,Directory & identity services,"Direcory service supporting users, devices, groups and enterprise authentication",Head of Technology,Infrastructure Manager,"User/device idenities, group memeberships and directory information",Restricted,Critical,High,High,High,On-premise/Hybrid,Microsoft,Ireland, Active,"September 16, 2026","February 1, 2027",Bi-Annual
